"","Treatment","Fluor","Conc","Replicate"
"284","Saccharin-0,1mg/L + Testostérone",241317.666666667,0.1,"3"
"285","Saccharin-1mg/L + Testostérone",487920,1,"3"
"286","Saccharin-10mg/L + Testostérone",2591189.33333333,10,"3"
"287","Saccharin-100mg/L + Testostérone",16215,100,"3"
"288","FETAX",186651.666666667,0,"3"
"289","Saccharin-0,01mg/L",446174.333333333,0.01,"3"
"290","Saccharin-1mg/L",41450,1,"3"
"291","Saccharin-10mg/L",44420.6666666667,10,"3"
"292","Saccharin-100mg/L",648550.666666667,100,"3"
"293","FETAX Testo",289934.666666667,0,"3"
"294","Saccharin-0,01mg/L + Testostérone",4025316.33333333,0.01,"3"
"295","Saccharin-0,1mg/L + Testostérone",1817250.33333333,0.1,"3"
"296","Saccharin-1mg/L + Testostérone",1435093,1,"3"
"297","Saccharin-10mg/L + Testostérone",1152779.66666667,10,"3"
"298","Saccharin-100mg/L + Testostérone",3143927,100,"3"
"299","FETAX Testo",4417718.33333333,0,"3"
"300","FETAX Testo",4547923.33333333,0,"3"
"301","FETAX Testo",4869462.5,0,"3"
"302","FETAX Testo",2694490,0,"3"
"303","FETAX Testo",1788936.66666667,0,"3"
"304","FETAX Testo",3187994,0,"3"
"305","FETAX Testo",3509234,0,"3"
"306","FETAX Testo",3199609.33333333,0,"3"
